 
****************************************
Report : area
Design : enigma_part2
Version: R-2020.09-SP5
Date   : Thu Nov  4 19:30:27 2021
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                          500
Number of nets:                         11265
Number of cells:                        10371
Number of combinational cells:           8476
Number of sequential cells:              1735
Number of macros/black boxes:               0
Number of buf/inv:                       2603
Number of references:                     201

Combinational area:              19153.308430
Buf/Inv area:                     3492.700996
Noncombinational area:           11236.977299
Macro/Black Box area:                0.000000
Net Interconnect area:            7587.292740

Total cell area:                 30390.285729
Total area:                      37977.578469

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ------------------------------ 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-   Black-
                                  Total       Total    national    national    boxes   Design
--------------------------------  ----------  -------  ----------  ----------  ------  ----------------------------------------------
enigma_part2                      30390.2857    100.0  18591.1419  10433.8823  0.0000  enigma_part2
clk_gate_rotB_o_inv_tmp_reg           8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_1
clk_gate_rotB_o_tmp_reg               8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_41
clk_gate_rotC_o_inv_tmp_reg           8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_40
clk_gate_rotorA_table_reg_0_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_0
clk_gate_rotorA_table_reg_10_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_152
clk_gate_rotorA_table_reg_11_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_151
clk_gate_rotorA_table_reg_13_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_150
clk_gate_rotorA_table_reg_15_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_149
clk_gate_rotorA_table_reg_16_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_148
clk_gate_rotorA_table_reg_18_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_147
clk_gate_rotorA_table_reg_1_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_157
clk_gate_rotorA_table_reg_20_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_146
clk_gate_rotorA_table_reg_21_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_145
clk_gate_rotorA_table_reg_23_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_144
clk_gate_rotorA_table_reg_25_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_143
clk_gate_rotorA_table_reg_26_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_142
clk_gate_rotorA_table_reg_28_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_141
clk_gate_rotorA_table_reg_30_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_140
clk_gate_rotorA_table_reg_31_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_139
clk_gate_rotorA_table_reg_33_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_138
clk_gate_rotorA_table_reg_35_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_137
clk_gate_rotorA_table_reg_36_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_136
clk_gate_rotorA_table_reg_38_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_135
clk_gate_rotorA_table_reg_3_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_156
clk_gate_rotorA_table_reg_40_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_134
clk_gate_rotorA_table_reg_41_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_133
clk_gate_rotorA_table_reg_43_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_132
clk_gate_rotorA_table_reg_45_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_131
clk_gate_rotorA_table_reg_46_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_130
clk_gate_rotorA_table_reg_48_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_129
clk_gate_rotorA_table_reg_50_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_128
clk_gate_rotorA_table_reg_51_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_127
clk_gate_rotorA_table_reg_53_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_126
clk_gate_rotorA_table_reg_55_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_125
clk_gate_rotorA_table_reg_56_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_124
clk_gate_rotorA_table_reg_58_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_123
clk_gate_rotorA_table_reg_59_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_122
clk_gate_rotorA_table_reg_5_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_155
clk_gate_rotorA_table_reg_61_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_121
clk_gate_rotorA_table_reg_62_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_120
clk_gate_rotorA_table_reg_6_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_154
clk_gate_rotorA_table_reg_8_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_153
clk_gate_rotorB_table_reg_0_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_119
clk_gate_rotorB_table_reg_10_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_113
clk_gate_rotorB_table_reg_11_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_112
clk_gate_rotorB_table_reg_13_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_111
clk_gate_rotorB_table_reg_15_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_110
clk_gate_rotorB_table_reg_16_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_109
clk_gate_rotorB_table_reg_18_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_108
clk_gate_rotorB_table_reg_1_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_118
clk_gate_rotorB_table_reg_20_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_107
clk_gate_rotorB_table_reg_21_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_106
clk_gate_rotorB_table_reg_23_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_105
clk_gate_rotorB_table_reg_25_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_104
clk_gate_rotorB_table_reg_26_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_103
clk_gate_rotorB_table_reg_28_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_102
clk_gate_rotorB_table_reg_30_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_101
clk_gate_rotorB_table_reg_31_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_100
clk_gate_rotorB_table_reg_33_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_99
clk_gate_rotorB_table_reg_35_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_98
clk_gate_rotorB_table_reg_36_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_97
clk_gate_rotorB_table_reg_38_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_96
clk_gate_rotorB_table_reg_3_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_117
clk_gate_rotorB_table_reg_40_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_95
clk_gate_rotorB_table_reg_41_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_94
clk_gate_rotorB_table_reg_43_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_93
clk_gate_rotorB_table_reg_45_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_92
clk_gate_rotorB_table_reg_46_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_91
clk_gate_rotorB_table_reg_48_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_90
clk_gate_rotorB_table_reg_50_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_89
clk_gate_rotorB_table_reg_51_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_88
clk_gate_rotorB_table_reg_53_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_87
clk_gate_rotorB_table_reg_55_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_86
clk_gate_rotorB_table_reg_56_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_85
clk_gate_rotorB_table_reg_58_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_84
clk_gate_rotorB_table_reg_59_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_83
clk_gate_rotorB_table_reg_5_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_116
clk_gate_rotorB_table_reg_61_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_82
clk_gate_rotorB_table_reg_62_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_81
clk_gate_rotorB_table_reg_6_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_115
clk_gate_rotorB_table_reg_8_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_114
clk_gate_rotorC_table_S3_reg_11_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_33
clk_gate_rotorC_table_S3_reg_13_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_32
clk_gate_rotorC_table_S3_reg_14_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_31
clk_gate_rotorC_table_S3_reg_16_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_30
clk_gate_rotorC_table_S3_reg_18_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_29
clk_gate_rotorC_table_S3_reg_19_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_28
clk_gate_rotorC_table_S3_reg_1_       8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_39
clk_gate_rotorC_table_S3_reg_21_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_27
clk_gate_rotorC_table_S3_reg_23_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_26
clk_gate_rotorC_table_S3_reg_24_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_25
clk_gate_rotorC_table_S3_reg_26_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_24
clk_gate_rotorC_table_S3_reg_28_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_23
clk_gate_rotorC_table_S3_reg_29_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_22
clk_gate_rotorC_table_S3_reg_31_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_21
clk_gate_rotorC_table_S3_reg_33_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_20
clk_gate_rotorC_table_S3_reg_34_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_19
clk_gate_rotorC_table_S3_reg_36_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_18
clk_gate_rotorC_table_S3_reg_38_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_17
clk_gate_rotorC_table_S3_reg_39_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_16
clk_gate_rotorC_table_S3_reg_3_       8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_38
clk_gate_rotorC_table_S3_reg_41_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_15
clk_gate_rotorC_table_S3_reg_43_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_14
clk_gate_rotorC_table_S3_reg_44_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_13
clk_gate_rotorC_table_S3_reg_46_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_12
clk_gate_rotorC_table_S3_reg_48_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_11
clk_gate_rotorC_table_S3_reg_49_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_10
clk_gate_rotorC_table_S3_reg_4_       8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_37
clk_gate_rotorC_table_S3_reg_51_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_9
clk_gate_rotorC_table_S3_reg_53_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_8
clk_gate_rotorC_table_S3_reg_54_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_7
clk_gate_rotorC_table_S3_reg_56_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_6
clk_gate_rotorC_table_S3_reg_57_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_5
clk_gate_rotorC_table_S3_reg_59_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_4
clk_gate_rotorC_table_S3_reg_60_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_3
clk_gate_rotorC_table_S3_reg_62_      8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_2
clk_gate_rotorC_table_S3_reg_6_       8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_36
clk_gate_rotorC_table_S3_reg_8_       8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_35
clk_gate_rotorC_table_S3_reg_9_       8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_34
clk_gate_rotorC_table_reg_0_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_80
clk_gate_rotorC_table_reg_10_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_74
clk_gate_rotorC_table_reg_11_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_73
clk_gate_rotorC_table_reg_13_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_72
clk_gate_rotorC_table_reg_15_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_71
clk_gate_rotorC_table_reg_16_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_70
clk_gate_rotorC_table_reg_18_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_69
clk_gate_rotorC_table_reg_1_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_79
clk_gate_rotorC_table_reg_20_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_68
clk_gate_rotorC_table_reg_21_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_67
clk_gate_rotorC_table_reg_23_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_66
clk_gate_rotorC_table_reg_25_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_65
clk_gate_rotorC_table_reg_26_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_64
clk_gate_rotorC_table_reg_28_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_63
clk_gate_rotorC_table_reg_30_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_62
clk_gate_rotorC_table_reg_31_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_61
clk_gate_rotorC_table_reg_33_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_60
clk_gate_rotorC_table_reg_35_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_59
clk_gate_rotorC_table_reg_36_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_58
clk_gate_rotorC_table_reg_38_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_57
clk_gate_rotorC_table_reg_3_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_78
clk_gate_rotorC_table_reg_40_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_56
clk_gate_rotorC_table_reg_41_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_55
clk_gate_rotorC_table_reg_43_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_54
clk_gate_rotorC_table_reg_45_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_53
clk_gate_rotorC_table_reg_46_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_52
clk_gate_rotorC_table_reg_48_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_51
clk_gate_rotorC_table_reg_50_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_50
clk_gate_rotorC_table_reg_51_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_49
clk_gate_rotorC_table_reg_53_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_48
clk_gate_rotorC_table_reg_55_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_47
clk_gate_rotorC_table_reg_56_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_46
clk_gate_rotorC_table_reg_58_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_45
clk_gate_rotorC_table_reg_59_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_44
clk_gate_rotorC_table_reg_5_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_77
clk_gate_rotorC_table_reg_61_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_43
clk_gate_rotorC_table_reg_62_         8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_42
clk_gate_rotorC_table_reg_6_          8.6409      0.0      3.5580      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_enigma_part2_mydesign_76
