A = -24714, B= -16923, instruction =  1, F_o= -24714
A = -24714, B= -16923, instruction =  2, F_o= -24713
A = -24714, B= -16923, instruction =  3, F_o=  -7792
A = -24714, B= -16923, instruction =  4, F_o=  -7791
A = -24714, B= -16923, instruction =  5, F_o=  23899
A = -24714, B= -16923, instruction =  6, F_o=  23900
A = -24714, B= -16923, instruction =  7, F_o= -16923
A = -24714, B= -16923, instruction =  8, F_o= -24715
A = -24714, B= -16923, instruction =  9, F_o= -25244
A = -24714, B= -16923, instruction = 10, F_o= -16393
A = -24714, B= -16923, instruction = 11, F_o=   8851
A = -24714, B= -16923, instruction = 16, F_o=  24713
A = -24714, B= -16923, instruction = 17, F_o=  24306
A = -24714, B= -16923, instruction = 18, F_o=  31690
A = -24714, B= -16923, instruction = 19, F_o=  -8462
A = -13423, B=  -3772, instruction =  0, F_o=  31691
A = -13423, B=  -3772, instruction =  1, F_o= -13423
A = -13423, B=  -3772, instruction =  2, F_o= -13422
A = -13423, B=  -3772, instruction =  3, F_o=  -9652
A = -13423, B=  -3772, instruction =  4, F_o=  -9651
A = -13423, B=  -3772, instruction =  5, F_o= -17195
A = -13423, B=  -3772, instruction =  6, F_o= -17194
A = -13423, B=  -3772, instruction =  7, F_o=  -3772
A = -13423, B=  -3772, instruction =  8, F_o= -13424
A = -13423, B=  -3772, instruction =  9, F_o= -16128
A = -13423, B=  -3772, instruction = 10, F_o=  -1067
A = -13423, B=  -3772, instruction = 11, F_o=  15061
A = -13423, B=  -3772, instruction = 16, F_o=  13422
A = -13423, B=  -3772, instruction = 17, F_o=  30882
A = -13423, B=  -3772, instruction = 18, F_o=  -7544
A = -13423, B=  -3772, instruction = 19, F_o=  30882
A = -17047, B=  -5091, instruction =  0, F_o=  -7543
A = -17047, B=  -5091, instruction =  1, F_o= -17047
A = -17047, B=  -5091, instruction =  2, F_o= -17046
A = -17047, B=  -5091, instruction =  3, F_o= -11957
A = -17047, B=  -5091, instruction =  4, F_o= -11956
A = -17047, B=  -5091, instruction =  5, F_o= -22138
A = -17047, B=  -5091, instruction =  6, F_o= -22137
A = -17047, B=  -5091, instruction =  7, F_o=  -5091
A = -17047, B=  -5091, instruction =  8, F_o= -17048
A = -17047, B=  -5091, instruction =  9, F_o= -21495
A = -17047, B=  -5091, instruction = 10, F_o=   -643
A = -17047, B=  -5091, instruction = 11, F_o=  20852
A = -17047, B=  -5091, instruction = 16, F_o=  17046
A = -17047, B=  -5091, instruction = 17, F_o=  30222
A = -17047, B=  -5091, instruction = 18, F_o= -10182
A = -17047, B=  -5091, instruction = 19, F_o=  -2546
A =   1900, B=  30515, instruction =  0, F_o= -10181
A =   1900, B=  30515, instruction =  1, F_o=   1900
A =   1900, B=  30515, instruction =  2, F_o=   1901
A =   1900, B=  30515, instruction =  3, F_o= -28616
A =   1900, B=  30515, instruction =  4, F_o= -28615
A =   1900, B=  30515, instruction =  5, F_o=  32415
A =   1900, B=  30515, instruction =  6, F_o=  32416
A =   1900, B=  30515, instruction =  7, F_o=  30515
A =   1900, B=  30515, instruction =  8, F_o=   1899
A =   1900, B=  30515, instruction =  9, F_o=   1824
A =   1900, B=  30515, instruction = 10, F_o=  30591
A =   1900, B=  30515, instruction = 11, F_o=  28767
A =   1900, B=  30515, instruction = 16, F_o=  -1901
A =   1900, B=  30515, instruction = 17, F_o=  15257
A =   1900, B=  30515, instruction = 18, F_o=  -4506
A =   1900, B=  30515, instruction = 19, F_o= -17511
A =  -3713, B= -23005, instruction =  0, F_o=  -4506
A =  -3713, B= -23005, instruction =  1, F_o=  -3713
A =  -3713, B= -23005, instruction =  2, F_o=  -3712
A =  -3713, B= -23005, instruction =  3, F_o=  19291
A =  -3713, B= -23005, instruction =  4, F_o=  19292
A =  -3713, B= -23005, instruction =  5, F_o= -26718
A =  -3713, B= -23005, instruction =  6, F_o= -26717
A =  -3713, B= -23005, instruction =  7, F_o= -23005
A =  -3713, B= -23005, instruction =  8, F_o=  -3714
A =  -3713, B= -23005, instruction =  9, F_o= -24541
A =  -3713, B= -23005, instruction = 10, F_o=  -2177
A =  -3713, B= -23005, instruction = 11, F_o=  22364
A =  -3713, B= -23005, instruction = 16, F_o=   3712
A =  -3713, B= -23005, instruction = 17, F_o=  21265
A =  -3713, B= -23005, instruction = 18, F_o=  19526
A =  -3713, B= -23005, instruction = 19, F_o= -11503
A =  -6495, B=   7419, instruction =  0, F_o=  19527
A =  -6495, B=   7419, instruction =  1, F_o=  -6495
A =  -6495, B=   7419, instruction =  2, F_o=  -6494
A =  -6495, B=   7419, instruction =  3, F_o= -13915
A =  -6495, B=   7419, instruction =  4, F_o= -13914
A =  -6495, B=   7419, instruction =  5, F_o=    924
A =  -6495, B=   7419, instruction =  6, F_o=    925
A =  -6495, B=   7419, instruction =  7, F_o=   7419
A =  -6495, B=   7419, instruction =  8, F_o=  -6496
A =  -6495, B=   7419, instruction =  9, F_o=   1185
A =  -6495, B=   7419, instruction = 10, F_o=   -261
A =  -6495, B=   7419, instruction = 11, F_o=  -1446
A =  -6495, B=   7419, instruction = 16, F_o=   6494
A =  -6495, B=   7419, instruction = 17, F_o=   3709
A =  -6495, B=   7419, instruction = 18, F_o=  14838
A =  -6495, B=   7419, instruction = 19, F_o= -29059
A =  30740, B=  16159, instruction =  0, F_o=  14838
A =  30740, B=  16159, instruction =  1, F_o=  30740
A =  30740, B=  16159, instruction =  2, F_o=  30741
A =  30740, B=  16159, instruction =  3, F_o=  14580
A =  30740, B=  16159, instruction =  4, F_o=  14581
A =  30740, B=  16159, instruction =  5, F_o= -18637
A =  30740, B=  16159, instruction =  6, F_o= -18636
A =  30740, B=  16159, instruction =  7, F_o=  16159
A =  30740, B=  16159, instruction =  8, F_o=  30739
A =  30740, B=  16159, instruction =  9, F_o=  14356
A =  30740, B=  16159, instruction = 10, F_o=  32543
A =  30740, B=  16159, instruction = 11, F_o=  18187
